PRP- BIOENERGIA;01-01609-10
PRG- ILUMINAÇÃO DO SAGUÃO DO BÁSICO II;01-01616-10
INOVA- EDIF INCUBADORA POLO INOVAÇÃO UNICAMP;01-01641-10
INOVA- EDIF INCUBADORA POLO INOVAÇÃO UNICAMP;01-01641-10
INOVA- EDIF INCUBADORA POLO INOVAÇÃO UNICAMP;01-01641-10
INOVA- EDIF INCUBADORA POLO INOVAÇÃO UNICAMP;01-01641-10
INOVA- EDIF INCUBADORA POLO INOVAÇÃO UNICAMP;01-01641-10
INOVA- EDIF INCUBADORA POLO INOVAÇÃO UNICAMP;01-01641-10
INOVA- EDIF INCUBADORA POLO INOVAÇÃO UNICAMP;01-01641-10
INOVA- EDIF INCUBADORA POLO INOVAÇÃO UNICAMP;01-01641-10
INOVA- EDIF INCUBADORA POLO INOVAÇÃO UNICAMP;01-01641-10
INOVA- EDIF INCUBADORA POLO INOVAÇÃO UNICAMP;01-01641-10
INOVA- EDIF INCUBADORA POLO INOVAÇÃO UNICAMP;01-01641-10
EDITORA- NOVA LIVRARIA;01-01659-11
EDITORA- NOVA LIVRARIA;01-01659-11
EDITORA- NOVA LIVRARIA;01-01659-11
EDITORA- NOVA LIVRARIA;01-01659-11
EDITORA- NOVA LIVRARIA;01-01659-11
EDITORA- NOVA LIVRARIA;01-01659-11
EDITORA- NOVA LIVRARIA;"01-01659-11
PROCEDIMENTO INTERNO"
IA- 2A ETAPA DO TEATRO - DEPTOS DAC E DACO;"01-01660-11
PROCEDIMENTO INTERNO"
REITORIA- ACESSIBILIDADE BLOCOS MODULADOS;"01-01661-11
PROCEDIMENTO INTERNO"
IA- 2A ETAPA DO TEATRO - DEPTOS DAC E DACO;"01-01662-11
PROCEDIMENTO INTERNO"
NEPP- AMPLIAÇÃO PRÉDIO NEPP;01-01663-11
NEPP- AMPLIAÇÃO PRÉDIO NEPP;01-01663-11
NEPP- AMPLIAÇÃO PRÉDIO NEPP;01-01663-11
NEPP- AMPLIAÇÃO PRÉDIO NEPP;01-01663-11
NEPP- AMPLIAÇÃO PRÉDIO NEPP;"01-01663-11
PROCEDIMENTO INTERNO"
REITORIA- CEAV/CORI;01-01664-11
REITORIA- CEAV/CORI;01-01664-11
REITORIA- CEAV/CORI;01-01664-11
REITORIA- CEAV/CORI;01-01664-11
REITORIA- CEAV/CORI;01-01664-11
REITORIA- CEAV/CORI;"01-01664-11
PROCEDIMENTO INTERNO"
IA- REMODELAÇÃO CABINE DE FORÇA;01-01694-10
IFGW- PRÉDIO FIBER-TO-HTE-LAB-KYATERA (FINEP- CT-INFRA);01-01772-09
IFGW- PRÉDIO FIBER-TO-HTE-LAB-KYATERA (FINEP- CT-INFRA);01-01772-09
IFGW- PRÉDIO FIBER-TO-HTE-LAB-KYATERA (FINEP- CT-INFRA);01-01772-09
IG- NOVA SEDE;01-01824-11
IG- NOVA SEDE;01-01824-11
FEF- REFORMA VESTIÁRIO MASCULINO E QUADRA;01-01846-09
FEF- REFORMA VESTIÁRIO MASCULINO E QUADRA;01-01846-09
FEA- LAB DE BIOTECNOLOGIA (CT-INFRA 01/06);01-01869-11
HEMOCENTRO- ALIMENTAÇÃO ELÉTRICA PRÉDIO LAVAGEM E REMODELAÇÃO DA CABINE DE FORÇA;01-01881-09
HEMOCENTRO- ALIMENTAÇÃO ELÉTRICA PRÉDIO LAVAGEM E REMODELAÇÃO DA CABINE DE FORÇA;01-01881-09
HEMOCENTRO- ALIMENTAÇÃO ELÉTRICA PRÉDIO LAVAGEM E REMODELAÇÃO DA CABINE DE FORÇA;01-01881-09
HEMOCENTRO- ALIMENTAÇÃO ELÉTRICA PRÉDIO LAVAGEM E REMODELAÇÃO DA CABINE DE FORÇA;01-01881-09
HEMOCENTRO- ALIMENTAÇÃO ELÉTRICA PRÉDIO LAVAGEM E REMODELAÇÃO DA CABINE DE FORÇA;01-01881-09
HEMOCENTRO- ALIMENTAÇÃO ELÉTRICA PRÉDIO LAVAGEM E REMODELAÇÃO DA CABINE DE FORÇA;01-01881-09
PRG- REFORMA SAE- ANTIGO PRÉDIO DA DAC;01-01883-09
PRG- REFORMA SAE- ANTIGO PRÉDIO DA DAC;01-01883-09
PRG- REFORMA SAE- ANTIGO PRÉDIO DA DAC;01-01883-09
PRG- REFORMA SAE- ANTIGO PRÉDIO DA DAC;01-01883-09
PRG- REFORMA SAE- ANTIGO PRÉDIO DA DAC;01-01883-09
IE - READEQUAÇÃO INST. ELÉTRICAS PAVILHÕES;01-01886-09
IE - READEQUAÇÃO INST. ELÉTRICAS PAVILHÕES;01-01886-09
IE - READEQUAÇÃO INST. ELÉTRICAS PAVILHÕES;01-01886-09
IE - READEQUAÇÃO INST. ELÉTRICAS PAVILHÕES;01-01886-09
IE - READEQUAÇÃO INST. ELÉTRICAS PAVILHÕES;01-01886-09
IEL- REFORMA PRÉDIO SALAS DE AULA (BLOCO VI);01-01907-10
IEL- REFORMA PRÉDIO SALAS DE AULA (BLOCO VI);01-01907-10
IEL- REFORMA PRÉDIO SALAS DE AULA (BLOCO VI);01-01907-10
IEL- REFORMA PRÉDIO SALAS DE AULA (BLOCO VI);01-01907-10
FCA- INFRAESTRUTURA SETOR SUL;01-02106-09
FCA- INFRAESTRUTURA SETOR SUL;01-02106-09
PRP- PRÉDIO CORE FACILITY;01-02119-10
PRP- PRÉDIO CORE FACILITY;01-02119-10
PRP- PRÉDIO CORE FACILITY;01-02119-10
PRP- PRÉDIO CORE FACILITY;01-02119-10
PRP- PRÉDIO CORE FACILITY;01-02119-10
PRP- PRÉDIO CORE FACILITY;01-02119-10
PRP- PRÉDIO CORE FACILITY;01-02119-10
PRP- PRÉDIO CORE FACILITY;01-02119-10
PRP- PRÉDIO CORE FACILITY;01-02119-10
CPFLimeira- SPDA PRÉDIOS PLANTA FÍSICA DE LIMEIRA;01-02131-07
CPFLimeira- SPDA PRÉDIOS PLANTA FÍSICA DE LIMEIRA;01-02131-07
PREFEITURA- NOVO ALMOXARIFADO PREFEITURA;01-02334-06
FEF- REMODELAÇÃO ENTRADA ENERGIA PRÉDIOS FEF;01-02360-10
IMECC- PRÉDIO LAB COMPUTAÇÃO CIENTÍFICA;01-02376-10
IMECC- PRÉDIO LAB COMPUTAÇÃO CIENTÍFICA;01-02376-10
IMECC- PRÉDIO LAB COMPUTAÇÃO CIENTÍFICA;01-02376-10
IMECC- PRÉDIO LAB COMPUTAÇÃO CIENTÍFICA;01-02376-10
IMECC- PRÉDIO LAB COMPUTAÇÃO CIENTÍFICA;01-02376-10
IMECC- PRÉDIO LAB COMPUTAÇÃO CIENTÍFICA;01-02376-10
IMECC- PRÉDIO LAB COMPUTAÇÃO CIENTÍFICA;01-02376-10
IMECC- PRÉDIO LAB COMPUTAÇÃO CIENTÍFICA;01-02376-10
IMECC- PRÉDIO LAB COMPUTAÇÃO CIENTÍFICA;01-02376-10
FCA- REFAZIMENTO IMPERMEABILIZAÇÃO ENSINO 1- CONTRATAÇÃO EMERGENCIAL;01-02388-11
FCA- REFAZIMENTO IMPERMEABILIZAÇÃO ENSINO 1- CONTRATAÇÃO EMERGENCIAL;01-02388-11
FCA- REFAZIMENTO IMPERMEABILIZAÇÃO ENSINO 1- CONTRATAÇÃO EMERGENCIAL;01-02388-11
FOP- CENTRO CLÍNICO;01-02432-04
CIDDIC- REFORMA PARTE ANTIGO PRÉDIO DO DNI- ÁREA ENSAIO ORQUESTRA;01-02434-11
FCA- ILUMINAÇÃO PÚBLICA CAMPUS 2;01-02436-09
FCA- ILUMINAÇÃO PÚBLICA CAMPUS 2;01-02436-09
FEC- CONCLUSÃO DO PRÉDIO 7;01-02440-07
FEC- CONCLUSÃO DO PRÉDIO 7;01-02440-07
FCA- PRÉDIOS DOS LABORATÓRIOS 1 E 2 CAMPUS 2;01-02454-09
FCA- PRÉDIOS DOS LABORATÓRIOS 1 E 2 CAMPUS 2;01-02454-09
FCA- PRÉDIOS DOS LABORATÓRIOS 1 E 2 CAMPUS 2;01-02454-09
FCA- PRÉDIOS DOS LABORATÓRIOS 1 E 2 CAMPUS 2;01-02454-09
FCA- PRÉDIOS DOS LABORATÓRIOS 1 E 2 CAMPUS 2;01-02454-09
FCA- PRÉDIOS DOS LABORATÓRIOS 1 E 2 CAMPUS 2;01-02454-09
FCA- PRÉDIOS DOS LABORATÓRIOS 1 E 2 CAMPUS 2;01-02454-09
FCA- PRÉDIOS DOS LABORATÓRIOS 1 E 2 CAMPUS 2;01-02454-09
FCA- PRÉDIOS DOS LABORATÓRIOS 1 E 2 CAMPUS 2;01-02454-09
REITORIA- ENTREPOSTO DE RESÍDUOS;01-02460-06
IG- NOVA SEDE;01-02491-09
HEMOCENTRO- CONSTRUÇÃO SALA DE CULTURA HEMOSTASIA;01-02500-06
HEMOCENTRO- CONSTRUÇÃO SALA DE CULTURA HEMOSTASIA;01-02500-06
PREAC- REFORMAS NO CIS- GUANABARA;01-02617-10
CPFLimeira- Reformulação Acessos;01-02673-11
CDC- REFORMAS GERAIS NO GMU;01-02707-11
CDC- REFORMAS GERAIS NO GMU;01-02707-11
CDC- REFORMAS GERAIS NO GMU;01-02707-11
CDC- REFORMAS GERAIS NO GMU;01-02707-11
CDC- REFORMAS GERAIS NO GMU;01-02707-11
CDC- REFORMAS GERAIS NO GMU;01-02707-11
CDC- REFORMAS GERAIS NO GMU;"01-02707-11
MEMORANDO Nº 005/11"
IC- REFORMA E AMPLIAÇÃO PRÉDIO IC-3 (FECHAMENTO DA ÁREA DE LUZ);01-02708-11
IC- REFORMA E AMPLIAÇÃO PRÉDIO IC-3 (FECHAMENTO DA ÁREA DE LUZ);01-02708-11
IC- REFORMA E AMPLIAÇÃO PRÉDIO IC-3 (FECHAMENTO DA ÁREA DE LUZ);"01-02708-11
OF.DIRETORIA/IC/06/2011"
IC- ESTACIONAMENTO IC-3,5;"01-02725-11
OF.DIRETORIA/IC/011/2011"
INOVA- LAB INOVAÇÃO BIOCOMBUSTÍVEIS FLIB (FINEP- CT-INFRA);01-02727-11
INOVA- LAB INOVAÇÃO BIOCOMBUSTÍVEIS FLIB (FINEP- CT-INFRA);01-02727-11
INOVA- LAB INOVAÇÃO BIOCOMBUSTÍVEIS FLIB (FINEP- CT-INFRA);01-02727-11
INOVA- LAB INOVAÇÃO BIOCOMBUSTÍVEIS FLIB (FINEP- CT-INFRA);01-02727-11
PREFEITURA- REFORMA RU;01-02776-11
PREFEITURA- REFORMA RU;01-02776-11
PREFEITURA- REFORMA RU;"01-02776-11
IT-PREFEITURA/DM 027/2011"
FEM- PROJ ELÉTRICO LAB PESQUISA (FINEP);01-02785-07
FEA- 1a ETAPA NOVO PRÉDIO SALAS AULA E LAB. DE ENSINO;01-02833-07
FCA- ILUMINAÇÃO PÚBLICA CAMPUS 2;01-02855-08
FCA- ILUMINAÇÃO PÚBLICA CAMPUS 2;01-02855-08
FCA- ILUMINAÇÃO PÚBLICA CAMPUS 2;01-02855-08
IEL- CEDAE (FINEP CT-INFRA 01/07);01-02859-11
FEA- LAB DE BIOTECNOLOGIA (CT-INFRA 01/06);01-03011-07
INOVA- URBANIZ POLO INOVAÇÃO UNICAMP;01-03013-10
INOVA- URBANIZ POLO INOVAÇÃO UNICAMP;01-03013-10
INOVA- URBANIZ POLO INOVAÇÃO UNICAMP;01-03013-10
INOVA- URBANIZ POLO INOVAÇÃO UNICAMP;01-03013-10
INOVA- URBANIZ POLO INOVAÇÃO UNICAMP;01-03013-10
IA- MIDIALOGIA;01-03026-11
IA- MIDIALOGIA;01-03026-11
IA- MIDIALOGIA;01-03026-11
IA- MIDIALOGIA;01-03026-11
IA- MIDIALOGIA;01-03026-11
CPQBA- NOVA PORTARIA;01-03050-11
CPQBA- NOVA PORTARIA;01-03050-11
CPQBA- NOVA PORTARIA;01-03050-11
CPQBA- NOVA PORTARIA;01-03050-11
CPQBA- NOVA PORTARIA;01-03050-11
IEL- REFORMA PRÉDIO SALAS DE AULA (BLOCO VI)- ETAPA AR CONDICIONADO;01-03064-10
IEL- REFORMA PRÉDIO SALAS DE AULA (BLOCO VI)- ETAPA AR CONDICIONADO;01-03064-10
FEEC- ELEVADOR;01-03230-10
FEEC- ELEVADOR;01-03230-10
FEEC- ELEVADOR;01-03230-10
FEEC- ELEVADOR;01-03230-10
FEEC- ELEVADOR;01-03230-10
FEEC- ELEVADOR;01-03230-10
FEEC- ELEVADOR;01-03230-10
FEEC- ELEVADOR;01-03230-10
FEEC- ELEVADOR;01-03230-10
FEEC- ELEVADOR;01-03230-10
FEEC- ELEVADOR;"01-03230-10
OF.FEEC 017/2010"
FEM- PRÉDIOS QUADRA 47;01-03231-10
FEM- PRÉDIOS QUADRA 47;01-03231-10
FEM- PRÉDIOS QUADRA 47;01-03231-10
FEM- PRÉDIOS QUADRA 47;01-03231-10
FEM- PRÉDIOS QUADRA 47;01-03231-10
FEM- PRÉDIOS QUADRA 47;01-03231-10
FEM- PRÉDIOS QUADRA 47;01-03231-10
FEC- LABORATÓRIO VEÍCULO VIA (FINEP);01-03293-07
INOVA- URBANIZ POLO INOVAÇÃO UNICAMP;01-03311-09
INOVA- URBANIZ POLO INOVAÇÃO UNICAMP;01-03311-09
INOVA- URBANIZ POLO INOVAÇÃO UNICAMP;01-03311-09
INOVA- URBANIZ POLO INOVAÇÃO UNICAMP;01-03311-09
INOVA- URBANIZ POLO INOVAÇÃO UNICAMP;01-03311-09
INOVA- URBANIZ POLO INOVAÇÃO UNICAMP;01-03311-09
INOVA- URBANIZ POLO INOVAÇÃO UNICAMP;01-03311-09
INOVA- URBANIZ POLO INOVAÇÃO UNICAMP;01-03311-09
INOVA- URBANIZ POLO INOVAÇÃO UNICAMP;01-03311-09
INOVA- URBANIZ POLO INOVAÇÃO UNICAMP;01-03311-09
INOVA- URBANIZ POLO INOVAÇÃO UNICAMP;01-03311-09
INOVA- URBANIZ POLO INOVAÇÃO UNICAMP;01-03311-09
INOVA- URBANIZ POLO INOVAÇÃO UNICAMP;01-03311-09
INOVA- URBANIZ POLO INOVAÇÃO UNICAMP;01-03311-09
INOVA- URBANIZ POLO INOVAÇÃO UNICAMP;01-03311-09
INOVA- URBANIZ POLO INOVAÇÃO UNICAMP;01-03311-09
INOVA- URBANIZ POLO INOVAÇÃO UNICAMP;01-03311-09
INOVA- URBANIZ POLO INOVAÇÃO UNICAMP;01-03311-09
INOVA- URBANIZ POLO INOVAÇÃO UNICAMP;01-03311-09
INOVA- URBANIZ POLO INOVAÇÃO UNICAMP;01-03311-09 (em mãos)
GASTRO- REFORMA E AMPLIAÇÃO DO GASTROCENTRO;01-03313-07
GASTRO- REFORMA E AMPLIAÇÃO DO GASTROCENTRO;01-03313-07
GASTRO- REFORMA E AMPLIAÇÃO DO GASTROCENTRO;01-03314-07
GASTRO- REFORMA E AMPLIAÇÃO DO GASTROCENTRO;01-03314-07
GASTRO- REFORMA E AMPLIAÇÃO DO GASTROCENTRO;01-03314-07
GASTRO- REFORMA E AMPLIAÇÃO DO GASTROCENTRO;01-03316-07
GASTRO- REFORMA E AMPLIAÇÃO DO GASTROCENTRO;01-03316-07
GASTRO- REFORMA E AMPLIAÇÃO DO GASTROCENTRO;01-03316-07
GASTRO- REFORMA E AMPLIAÇÃO DO GASTROCENTRO;01-03317-07
GASTRO- REFORMA E AMPLIAÇÃO DO GASTROCENTRO;01-03317-07
IC- NOVO PRÉDIO IC- 04;01-03412-10
IC- NOVO PRÉDIO IC- 04;01-03412-10
IC- NOVO PRÉDIO IC- 04;01-03412-10
IC- NOVO PRÉDIO IC- 04;01-03412-10
IC- NOVO PRÉDIO IC- 04;01-03412-10
IC- NOVO PRÉDIO IC- 04;01-03412-10
IC- NOVO PRÉDIO IC- 04;01-03412-10
IC- NOVO PRÉDIO IC- 04;01-03412-10
IC- NOVO PRÉDIO IC- 04;01-03412-10
IC- NOVO PRÉDIO IC- 04;01-03412-10
IC- NOVO PRÉDIO IC- 04;01-03412-10
IC- NOVO PRÉDIO IC- 04;01-03412-10
FCM- INSTALAÇÃO GRUPO GERADOR PARA PRÉDIOS FCM;01-03500-08
CGU- LIEM- LAB. ENGENHARIA MOLECULAR;01-03511-11
CGU- LIEM- LAB. ENGENHARIA MOLECULAR;01-03511-11
FEQ- REFORMA E AMPLIAÇÃO DO BARRACÃO OFICINA;01-03551-11
FEQ- REFORMA E AMPLIAÇÃO DO BARRACÃO OFICINA;"01-03551-11
MEMO.FEQ.003/2011"
AFPU- REFORMA;01-03610-10
AFPU- REFORMA;01-03610-10
AFPU- REFORMA;01-03610-10
CSS/CECOM- CLIMATIZAÇÃO CENTRAL MATERIAL ESTERILIZADO;01-03649-10
CSS/CECOM- CLIMATIZAÇÃO CENTRAL MATERIAL ESTERILIZADO;01-03649-10
CSS/CECOM- CLIMATIZAÇÃO CENTRAL MATERIAL ESTERILIZADO;01-03649-10
IMECC- REFORMA SANITÁRIOS;01-03690-11
IMECC- REFORMA SANITÁRIOS;"01-03690-11
OF.IMECC/DIR/161/2010"
IE - READEQUAÇÃO INST. ELÉTRICAS PAVILHÕES;01-03737-11
IFCH- PRÉDIO DOS CENTROS E NÚCLEOS (FINEP);01-03740-06
FCA- DESMONTAGEM E MONTAGEM FORRO GESSO PRÉDIO ENSINO 1- CONTRAT EMERGENCIAL;01-03840-11
FCA- DESMONTAGEM E MONTAGEM FORRO GESSO PRÉDIO ENSINO 1- CONTRAT EMERGENCIAL;01-03840-11
FCA- DESMONTAGEM E MONTAGEM FORRO GESSO PRÉDIO ENSINO 1- CONTRAT EMERGENCIAL;01-03840-11
HEMOCENTRO- ALIMENTAÇÃO ELÉTRICA PRÉDIO LAVAGEM E REMODELAÇÃO DA CABINE DE FORÇA;01-03898-08
HEMOCENTRO- ALIMENTAÇÃO ELÉTRICA PRÉDIO LAVAGEM E REMODELAÇÃO DA CABINE DE FORÇA;01-03898-08
HEMOCENTRO- ALIMENTAÇÃO ELÉTRICA PRÉDIO LAVAGEM E REMODELAÇÃO DA CABINE DE FORÇA;01-03898-08
HEMOCENTRO- ALIMENTAÇÃO ELÉTRICA PRÉDIO LAVAGEM E REMODELAÇÃO DA CABINE DE FORÇA;01-03898-08
HEMOCENTRO- ALIMENTAÇÃO ELÉTRICA PRÉDIO LAVAGEM E REMODELAÇÃO DA CABINE DE FORÇA;01-03898-08
DGA- REFORMA ANTIGO BARRACÃO MARCENARIA;01-03900-08
DGA- REFORMA ANTIGO BARRACÃO MARCENARIA;01-03900-08
DGA- REFORMA ANTIGO BARRACÃO MARCENARIA;01-03900-08
DGA- REFORMA ANTIGO BARRACÃO MARCENARIA;01-03900-08
GASTRO- REFORMA E AMPLIAÇÃO DO GASTROCENTRO;01-03947-09
GASTRO- REFORMA E AMPLIAÇÃO DO GASTROCENTRO;01-03947-09
GASTRO- REFORMA E AMPLIAÇÃO DO GASTROCENTRO;01-03947-09
CGU - CT-INFRA- OBRAS RARAS E COLEÇÕES ESPECIAIS;01-03953-11
CGU - CT-INFRA- OBRAS RARAS E COLEÇÕES ESPECIAIS;01-03953-11
CGU - CT-INFRA- OBRAS RARAS E COLEÇÕES ESPECIAIS;01-03953-11
CGU - CT-INFRA- OBRAS RARAS E COLEÇÕES ESPECIAIS;01-03953-11
CGU - CT-INFRA- OBRAS RARAS E COLEÇÕES ESPECIAIS;01-03953-11
CGU - CT-INFRA- OBRAS RARAS E COLEÇÕES ESPECIAIS;01-03953-11
REITORIA- MUSEU DE CIÊNCIAS;01-03990-10
REITORIA- MUSEU DE CIÊNCIAS;01-03990-10
REITORIA- MUSEU DE CIÊNCIAS;01-03990-10
REITORIA- MUSEU DE CIÊNCIAS;01-03990-10
FCA- VESTIÁRIO PARA AS QUADRAS;01-04003-11
FCA- VESTIÁRIO PARA AS QUADRAS;01-04003-11
FCA- VESTIÁRIO PARA AS QUADRAS;01-04003-11
INOVA- EDIF INCUBADORA POLO INOVAÇÃO UNICAMP;01-04009-09
INOVA- EDIF INCUBADORA POLO INOVAÇÃO UNICAMP;01-04009-09
INOVA- EDIF INCUBADORA POLO INOVAÇÃO UNICAMP;01-04009-09
INOVA- EDIF INCUBADORA POLO INOVAÇÃO UNICAMP;01-04009-09
INOVA- EDIF INCUBADORA POLO INOVAÇÃO UNICAMP;01-04009-09
INOVA- EDIF INCUBADORA POLO INOVAÇÃO UNICAMP;01-04009-09
INOVA- EDIF INCUBADORA POLO INOVAÇÃO UNICAMP;01-04009-09
FCA- ALTERAÇÃO PROJ RESTAURANTE CAMPUS 2;01-04011-09
FCA- ALTERAÇÃO PROJ RESTAURANTE CAMPUS 2;01-04011-09
FCA- ALTERAÇÃO PROJ RESTAURANTE CAMPUS 2;01-04011-09
FCA- ALTERAÇÃO PROJ RESTAURANTE CAMPUS 2;01-04011-09
FCA- ALTERAÇÃO PROJ RESTAURANTE CAMPUS 2;01-04011-09
FCA- ALTERAÇÃO PROJ RESTAURANTE CAMPUS 2;01-04011-09
FCA- ALTERAÇÃO PROJ RESTAURANTE CAMPUS 2;01-04011-09
FCA- ALTERAÇÃO PROJ RESTAURANTE CAMPUS 2;01-04011-09
FCA- ALTERAÇÃO PROJ RESTAURANTE CAMPUS 2;01-04011-09
FCA- ALTERAÇÃO PROJ RESTAURANTE CAMPUS 2;01-04011-09
FCA- ALTERAÇÃO PROJ RESTAURANTE CAMPUS 2;01-04011-09
FCA- URBANIZAÇÃO ENTORNO RESTAURANTE CAMPUS 2;01-04011-09
